X,Y,Cluster,Region,City,Partner,Lon,Lat,Population,Strata,Salary,Ranking,SB Trade Z,Target Pen,Target P_1,Actual Pen,Ttl,IL+FS,DT,FC,St,Op,Lt,SB,Ttl g,St g,Op g,SB g,KFC Av Sal,EBITDA H12,ViT,BK,icon_url
30.209535,60.144646,NW,Ленинградская область,Сертолово,AmRest,30.209534999999999,60.144646000000002,54 497,30 - 60,51 249,good,"0",80 000,54 497,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
48.371574,55.862333,Volga,Марий Эл республика,Волжск,AmRest,48.371574000000003,55.862333000000000,53 581,30 - 60,32 949,poor,"0",120 000,53 581,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
42.167961,55.320683,Volga,Нижегородская область,Выкса,AmRest,42.167960999999998,55.320683000000002,52 822,30 - 60,39 312,ok,"0",100 000,52 822,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
33.417814,69.076631,NW,Мурманская область,Североморск,AmRest,33.417814000000000,69.076631000000006,52 597,30 - 60,"0",Нет рейтинга,"0",,52 597,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
39.87114,44.761141,South,Краснодарский край,Белореченск,AmRest,39.871139999999997,44.761141000000002,51 935,30 - 60,29 877,good,"0",80 000,51 935,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
38.945579,45.6186,South,Краснодарский край,Тимашевск,AmRest,38.945579000000002,45.618600000000001,51 443,30 - 60,35 194,good,"0",80 000,51 443,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
33.914025,58.388219,NW,Новгородская область,Боровичи,AmRest,33.914025000000002,58.388218999999999,49 071,30 - 60,29 900,good,Low Density Residential,80 000,49 071,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
43.602005,56.504556,Volga,Нижегородская область,Балахна,AmRest,43.602004999999998,56.504556000000001,48 710,30 - 60,30 985,ok,"0",100 000,48 710,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
40.591364,44.887641,South,Краснодарский край,Курганинск,AmRest,40.591363999999999,44.887641000000002,48 439,30 - 60,25 712,good,"0",80 000,48 439,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
47.491764,55.506943,Volga,Чувашская Республика - Чувашия,Канаш,AmRest,47.491764000000003,55.506943000000000,45 222,30 - 60,25 996,ok,Low Density Residential,100 000,45 222,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
